Z	A	name	Halflife
72	181	181Hf  -	3662496
73	181	181Ta  -	stbl
74	181	181W   -	10471680
75	181	181Re  -	71640
76	181	181Os  -	6300
77	181	181Ir  -	294
78	181	181Pt  -	52
79	181	181Au  -	13.7
80	181	181Hg  -	3.6
81	181	181Tl  -	3.2
82	181	181Pb	0.039
71	182	182Lu  -	120
72	182	182Hf  -	2.8067E+14
73	182	182Ta  -	9913536
74	182	182W   -	stbl
76	182	182Os  -	78624
77	182	182Ir  -	900
78	182	182Pt  -	160.2
79	182	182Au  -	15.5
80	182	182Hg  -	10.83
82	182	182Pb	0.055
71	183	183Lu  -	58
72	183	183Hf  -	3664.8
73	183	183Ta  -	440640
74	183	183W   -	stbl
75	183	183Re  -	6048000
76	183	183Os  -	46800
77	183	183Ir  -	3480
78	183	183Pt  -	390
79	183	183Au  -	42.8
80	183	183Hg  -	9.4
81	183	183Tl  -	6.9
82	183	183Pb	0.535
71	184	184Lu  -	20
72	184	184Hf  -	14832
73	184	184Ta  -	31320
74	184	184W   -	stbl
75	184	184Re  -	3058560
76	184	184Os  -	stbl
77	184	184Ir  -	11124
78	184	184Pt  -	1038
79	184	184Au  -	20.6
80	184	184Hg  -	30.87
82	184	184Pb  -	0.49
72	185	185Hf  -	210
73	185	185Ta  -	2964
74	185	185W   -	6488640
75	185	185Re  -	stbl
76	185	185Os  -	8030880
77	185	185Ir  -	51840
78	185	185Pt  -	4254
80	185	185Hg  -	49.1
81	185	185Tl  -	19.5
72	186	186Hf  -	156
73	186	186Ta  -	630
74	186	186W   -	stbl
75	186	186Re  -	321261.12
76	186	186Os  -	6.3072E+22
77	186	186Ir  -	59904
78	186	186Pt  -	7488
79	186	186Au  -	642
80	186	186Hg  -	82.8
82	186	186Pb  -	4.82
84	186	186Po	0.000034
73	187	187Ta  -	138
74	187	187W   -	86400
75	187	187Re  -	1.36551E+18
76	187	187Os  -	stbl
77	187	187Ir  -	37800
78	187	187Pt  -	8460
79	187	187Au  -	498
80	187	187Hg  -	114
83	187	187Bi	0.037
73	188	188Ta  -	19.6
74	188	188W   -	6028992
75	188	188Re  -	61214.4
76	188	188Os  -	stbl
77	188	188Ir  -	149400
78	188	188Pt  -	881280
79	188	188Au  -	530.4
80	188	188Hg  -	195
82	188	188Pb  -	25.1
84	188	188Po	0.000275
74	189	189W   -	642
75	189	189Re  -	87480
76	189	189Os  -	stbl
77	189	189Ir  -	1140480
78	189	189Pt  -	39132
79	189	189Au  -	1722
80	189	189Hg  -	456
81	189	189Tl  -	138
83	189	189Bi  -	0.658
84	189	189Po	0.0038
74	190	190W   -	1800
75	190	190Re  -	186
76	190	190Os  -	stbl
77	190	190Ir  -	1017792
78	190	190Pt  -	2.04984E+19
80	190	190Hg  -	1200
82	190	190Pb  -	71
83	190	190Bi  -	6.3
84	190	190Po	0.00246
75	191	191Re  -	588
76	191	191Os  -	1295136
77	191	191Ir  -	stbl
78	191	191Pt  -	244512
79	191	191Au  -	11448
80	191	191Hg  -	2940
83	191	191Bi  -	11.7
84	191	191Po	0.022
85	191	191At	0.0021
73	192	192Ta  -	2.2
75	192	192Re  -	16
76	192	192Os  -	stbl
77	192	192Ir  -	6378912
78	192	192Pt  -	stbl
79	192	192Au  -	17784
80	192	192Hg  -	17460
81	192	192Tl  -	576
82	192	192Pb  -	210
83	192	192Bi  -	34.6
84	192	192Po	0.0322
76	193	193Os  -	107388
77	193	193Ir  -	stbl
78	193	193Pt  -	1576800000
79	193	193Au  -	63540
80	193	193Hg  -	13680
81	193	193Tl  -	1296
83	193	193Bi  -	63.6
84	193	193Po	0.388
86	193	193Rn	0.00115
75	194	194Re  -	5
76	194	194Os  -	189216000
77	194	194Ir  -	69408
78	194	194Pt  -	stbl
79	194	194Au  -	136872
80	194	194Hg  -	14096592000
81	194	194Tl  -	1980
82	194	194Pb  -	642
84	194	194Po  -	0.392
85	194	194At	0.286
86	194	194Rn	0.00078
75	195	195Re  -	6
76	195	195Os  -	390
77	195	195Ir  -	8244
78	195	195Pt  -	stbl
79	195	195Au  -	16071264
80	195	195Hg  -	38484
81	195	195Tl  -	4176
83	195	195Bi  -	183
84	195	195Po  -	4.64
85	195	195At	0.29
75	196	196Re  -	2.4
76	196	196Os  -	2094
77	196	196Ir  -	52
78	196	196Pt  -	stbl
79	196	196Au  -	532820.16
80	196	196Hg  -	stbl
81	196	196Tl  -	6624
82	196	196Pb  -	2220
83	196	196Bi  -	306
84	196	196Po  -	5.56
86	196	196Rn	0.0047
76	197	197Os  -	168
77	197	197Ir  -	348
78	197	197Pt  -	71609.4
79	197	197Au  -	stbl
80	197	197Hg  -	233784
81	197	197Tl  -	10224
82	197	197Pb  -	486
83	197	197Bi  -	559.8
84	197	197Po  -	53.6
86	197	197Rn	0.054
87	197	197Fr	0.00233
77	198	198Ir  -	8
78	198	198Pt  -	stbl
79	198	198Au  -	232770.24
80	198	198Hg  -	stbl
81	198	198Tl  -	19080
82	198	198Pb  -	8640
83	198	198Bi  -	618
84	198	198Po  -	105.6
85	198	198At	3
86	198	198Rn	0.065
87	198	198Fr	0.015
76	199	199Os  -	6
77	199	199Ir  -	7
78	199	199Pt  -	1848
79	199	199Au  -	271209.6
80	199	199Hg  -	stbl
81	199	199Tl  -	26712
82	199	199Pb  -	5400
83	199	199Bi  -	1620
84	199	199Po  -	328.2
85	199	199At	7.02
86	199	199Rn	0.59
87	199	199Fr	0.0066
76	200	200Os  -	7
77	200	200Ir  -	43
78	200	200Pt  -	45360
79	200	200Au  -	2904
80	200	200Hg  -	stbl
81	200	200Tl  -	93960
82	200	200Pb  -	77400
84	200	200Po  -	690.6
85	200	200At	43.2
86	200	200Rn	1.09
77	201	201Ir  -	21
78	201	201Pt  -	150
79	201	201Au  -	1560
80	201	201Hg  -	stbl
81	201	201Tl  -	263018.88
82	201	201Pb  -	33588
83	201	201Bi  -	6180
84	201	201Po  -	936
85	201	201At  -	85.2
86	201	201Rn	7
87	201	201Fr	0.0628
88	201	201Ra	0.02
77	202	202Ir  -	11
78	202	202Pt  -	158400
79	202	202Au  -	28.4
80	202	202Hg  -	stbl
81	202	202Tl  -	1063584
82	202	202Pb  -	1.65564E+12
83	202	202Bi  -	6192
84	202	202Po  -	2676
85	202	202At  -	184
86	202	202Rn	9.7
87	202	202Fr	0.372
88	202	202Ra	0.0041
78	203	203Pt  -	22
79	203	203Au  -	60
80	203	203Hg  -	4027363.2
81	203	203Tl  -	stbl
82	203	203Pb  -	186897.6
83	203	203Bi  -	42336
84	203	203Po  -	2202
85	203	203At  -	444
86	203	203Rn	44
87	203	203Fr	0.55
88	203	203Ra	0.036
78	204	204Pt  -	10.3
79	204	204Au  -	38.3
80	204	204Hg  -	stbl
81	204	204Tl  -	119300688
82	204	204Pb  -	stbl
83	204	204Bi  -	40392
84	204	204Po  -	12668.4
85	204	204At  -	547.2
86	204	204Rn	74.52
87	204	204Fr	1.75
88	204	204Ra	0.06
79	205	205Au  -	32.5
80	205	205Hg  -	308.4
81	205	205Tl  -	stbl
82	205	205Pb  -	5.45573E+14
83	205	205Bi  -	1322784
84	205	205Po  -	6264
85	205	205At  -	2028
86	205	205Rn	169.8
87	205	205Fr	3.82
88	205	205Ra	0.22
89	205	205Ac	0.08
79	206	206Au  -	47
80	206	206Hg  -	499.2
81	206	206Tl  -	252.12
82	206	206Pb  -	stbl
83	206	206Bi  -	539395.2
84	206	206Po  -	760320
85	206	206At  -	1836
86	206	206Rn	340.2
88	206	206Ra	0.24
89	206	206Ac	0.025
80	207	207Hg  -	174
81	207	207Tl  -	286.2
82	207	207Pb  -	stbl
83	207	207Bi  -	983923200
84	207	207Po  -	20880
85	207	207At  -	6516
86	207	207Rn	555
87	207	207Fr	14.8
88	207	207Ra	1.38
89	207	207Ac	0.031
80	208	208Hg  -	2520
81	208	208Tl  -	183.18
82	208	208Pb  -	stbl
83	208	208Bi  -	1.16052E+13
84	208	208Po  -	91391328
85	208	208At  -	5868
86	208	208Rn	1461
87	208	208Fr	59.1
88	208	208Ra	1.11
89	208	208Ac	0.097
90	208	208Th	0.0024
80	209	209Hg	38
81	209	209Tl  -	129.72
82	209	209Pb  -	11642.4
83	209	209Bi  -	6.33874E+26
84	209	209Po  -	3910464000
85	209	209At  -	19512
86	209	209Rn	1728
87	209	209Fr	50.5
88	209	209Ra	4.71
89	209	209Ac	0.094
80	210	210Hg	64
81	210	210Tl	78
82	210	210Pb  -	700099200
83	210	210Bi  -	433036.8
84	210	210Po  -	11955686.4
85	210	210At  -	29160
86	210	210Rn	8640
87	210	210Fr	190.8
88	210	210Ra	4
89	210	210Ac	0.35
90	210	210Th	0.016
80	211	211Hg	26
81	211	211Tl	80
82	211	211Pb  -	2169.84
83	211	211Bi  -	128.4
84	211	211Po  -	0.516
85	211	211At  -	25970.4
86	211	211Rn	52560
87	211	211Fr	186
88	211	211Ra	13.2
89	211	211Ac	0.213
90	211	211Th	0.048
81	212	212Tl	31
82	212	212Pb	38304
83	212	212Bi	3633
84	212	212Po  -	2.947E-07
85	212	212At	0.314
86	212	212Rn	1434
87	212	212Fr	1200
88	212	212Ra	13
89	212	212Ac	0.895
90	212	212Th	0.0317
91	212	212Pa	0.0075
81	213	213Tl	24
82	213	213Pb	612
83	213	213Bi	2736.6
84	213	213Po	0.000003708
85	213	213At	0.000000125
86	213	213Rn	0.0195
87	213	213Fr	34.14
88	213	213Ra	163.8
89	213	213Ac	0.738
90	213	213Th	0.144
91	213	213Pa	0.007
81	214	214Tl	11
82	214	214Pb	1623.6
83	214	214Bi	1194
84	214	214Po	0.00016372
85	214	214At	0.000000558
86	214	214Rn	0.00000027
87	214	214Fr	0.00518
88	214	214Ra	2.437
89	214	214Ac	8.2
90	214	214Th	0.087
91	214	214Pa	0.017
81	215	215Tl	10
82	215	215Pb	140.4
83	215	215Bi	456
84	215	215Po	0.001781
85	215	215At	0.0001
86	215	215Rn	0.0000023
87	215	215Fr	0.000000086
88	215	215Ra	0.00167
89	215	215Ac	0.17
90	215	215Th	1.2
91	215	215Pa	0.014
92	215	215U	0.0014
81	216	216Tl	6
82	216	216Pb	99
84	216	216Po	0.145
85	216	216At	0.0003
86	216	216Rn	0.000045
87	216	216Fr	0.0000007
88	216	216Ra	0.000000182
89	216	216Ac	0.00044
90	216	216Th	0.026
91	216	216Pa	0.105
92	216	216U	0.0069
82	217	217Pb	20
83	217	217Bi	98.5
84	217	217Po	1.514
85	217	217At	0.03262
86	217	217Rn	0.00054
87	217	217Fr	0.0000168
88	217	217Ra	0.00000163
89	217	217Ac	0.000000069
90	217	217Th	0.000247
91	217	217Pa	0.00348
92	217	217U	0.0008
82	218	218Pb	15
83	218	218Bi	33
84	218	218Po	185.88
85	218	218At	1.5
86	218	218Rn	0.03375
87	218	218Fr	0.001
88	218	218Ra	0.0000252
89	218	218Ac	0.000001
90	218	218Th	0.000000117
91	218	218Pa	0.000113
92	218	218U	0.00055
83	219	219Bi	8.7
84	219	219Po	618
85	219	219At	56
86	219	219Rn	3.96
87	219	219Fr	0.02
88	219	219Ra	0.01
89	219	219Ac	0.0000118
90	219	219Th	0.000001021
91	219	219Pa	0.000000053
92	219	219U	0.000055
83	220	220Bi	9.5
85	220	220At	222.6
86	220	220Rn	55.6
87	220	220Fr	27.4
88	220	220Ra	0.0179
89	220	220Ac	0.02636
90	220	220Th	0.0000097
91	220	220Pa	0.00000078
84	221	221Po	132
85	221	221At	138
86	221	221Rn	1542
87	221	221Fr	288.06
88	221	221Ra	28
89	221	221Ac	0.052
90	221	221Th	0.00178
91	221	221Pa	0.0000059
92	221	221U	0.00000066
84	222	222Po	546
85	222	222At	54
86	222	222Rn	330177.6
87	222	222Fr	852
88	222	222Ra	33.6
90	222	222Th	0.00224
91	222	222Pa	0.0032
92	222	222U	0.0000047
85	223	223At	50
86	223	223Rn	1458
87	223	223Fr	1320
88	223	223Ra	988217.28
89	223	223Ac	126
90	223	223Th	0.6
91	223	223Pa	0.0051
92	223	223U	0.000021
85	224	224At	150
86	224	224Rn	6420
87	224	224Fr	199.8
88	224	224Ra	313796.16
89	224	224Ac	10008
90	224	224Th	1.04
91	224	224Pa	0.846
92	224	224U	0.000396
86	225	225Rn	279.6
87	225	225Fr	237
88	225	225Ra	1287360
89	225	225Ac	857088
90	225	225Th	525
91	225	225Pa	1.7
92	225	225U	0.061
93	225	225Np	0.006
86	226	226Rn	444
87	226	226Fr	49
88	226	226Ra	50457600000
89	226	226Ac	105732
90	226	226Th	1842
91	226	226Pa	108
92	226	226U	0.269
93	226	226Np	0.035
86	227	227Rn	20.2
87	227	227Fr	148.2
88	227	227Ra	2532
89	227	227Ac	686601792
90	227	227Th	1615420.8
91	227	227Pa	2298
92	227	227U	66
93	227	227Np	0.51
86	228	228Rn	65
87	228	228Fr	38
88	228	228Ra	181332000
89	228	228Ac	22140
90	228	228Th	60309446.4
91	228	228Pa	79200
92	228	228U	546
93	228	228Np	61.4
94	228	228Pu	2.1
86	229	229Rn	11.9
87	229	229Fr	50.2
88	229	229Ra	240
89	229	229Ac	3762
90	229	229Th	2.49765E+11
91	229	229Pa	129600
92	229	229U	3468
93	229	229Np	240
94	229	229Pu	91
95	229	229Am	1.8
87	230	230Fr	19.1
88	230	230Ra	5580
89	230	230Ac	122
90	230	230Th	2.37781E+12
91	230	230Pa	1503360
92	230	230U	1747872
93	230	230Np	276
94	230	230Pu	102
95	230	230Am	40
87	231	231Fr	17.6
88	231	231Ra	104
89	231	231Ac	450
90	231	231Th	91872
91	231	231Pa	1.03312E+12
92	231	231U	362880
93	231	231Np	2928
94	231	231Pu	516
87	232	232Fr	5.5
88	232	232Ra	240
89	232	232Ac	118.8
90	232	232Th	4.41504E+17
91	232	232Pa	114048
92	232	232U	2172830400
93	232	232Np	882
94	232	232Pu	2022
95	232	232Am	78.6
87	233	233Fr	0.9
88	233	233Ra	30
89	233	233Ac	145
90	233	233Th	1309.8
91	233	233Pa	2330640
92	233	233U	5.02053E+12
93	233	233Np	2172
94	233	233Pu	1254
95	233	233Am	192
96	233	233Cm	27
97	233	233Bk	40
88	234	234Ra	30
89	234	234Ac	45
90	234	234Th	2082240
91	234	234Pa	24120
92	234	234U	7.74209E+12
93	234	234Np	380160
94	234	234Pu	31680
95	234	234Am	139.2
96	234	234Cm	52
97	234	234Bk	20
89	235	235Ac	62
90	235	235Th	432
91	235	235Pa	1464
92	235	235U	2.22013E+16
93	235	235Np	34223040
94	235	235Pu	1518
95	235	235Am	618
89	236	236Ac	270
90	236	236Th	2238
91	236	236Pa	546
92	236	236U	7.38573E+14
94	236	236Pu	90129888
95	236	236Am	216
96	236	236Cm	408
90	237	237Th	288
91	237	237Pa	522
92	237	237U	583372.8
93	237	237Np	6.76132E+13
94	237	237Pu	3943296
95	237	237Am	4416
98	237	237Cf	0.8
90	238	238Th	564
91	238	238Pa	136.8
92	238	238U	1.40903E+17
93	238	238Np	181353.6
94	238	238Pu	2765707200
95	238	238Am	5880
96	238	238Cm	7920
97	238	238Bk	144
98	238	238Cf	0.0211
91	239	239Pa	6480
92	239	239U	1407
93	239	239Np	203558.4
94	239	239Pu	7.60333E+11
95	239	239Am	42840
96	239	239Cm	9000
98	239	239Cf	60
92	240	240U	50760
94	240	240Pu	2.06908E+11
95	240	240Am	182880
96	240	240Cm	2332800
97	240	240Bk	288
98	240	240Cf	40.3
93	241	241Np	834
94	241	241Pu	451879344
95	241	241Am	13642473600
96	241	241Cm	2833920
97	241	241Bk	276
98	241	241Cf	141
99	241	241Es	10
100	241	241Fm	0.00073
92	242	242U	1008
94	242	242Pu	1.1826E+13
95	242	242Am	57672
96	242	242Cm	14065920
97	242	242Bk	420
98	242	242Cf	209.4
99	242	242Es	17.8
100	242	242Fm	0.0008
93	243	243Np	111
94	243	243Pu	17841.6
95	243	243Am	2.32231E+11
96	243	243Cm	917697600
97	243	243Bk	16560
98	243	243Cf	642
99	243	243Es	21.6
100	243	243Fm	0.231
93	244	244Np	137.4
94	244	244Pu	2.52288E+15
95	244	244Am	36360
96	244	244Cm	570801600
97	244	244Bk	18072
98	244	244Cf	1164
99	244	244Es	37
100	244	244Fm	0.00312
94	245	245Pu	37800
95	245	245Am	7380
96	245	245Cm	2.60172E+11
97	245	245Bk	427680
98	245	245Cf	2700
99	245	245Es	66
100	245	245Fm	4.2
94	246	246Pu	936576
95	246	246Am	2340
96	246	246Cm	1.48408E+11
97	246	246Bk	155520
98	246	246Cf	128520
99	246	246Es	450
100	246	246Fm	1.54
101	246	246Md	0.92
94	247	247Pu	196128
95	247	247Am	1380
96	247	247Cm	4.91962E+14
97	247	247Bk	43519680000
98	247	247Cf	11196
99	247	247Es	273
100	247	247Fm	31
101	247	247Md	1.2
96	248	248Cm	1.09745E+13
98	248	248Cf	28814400
99	248	248Es	1440
100	248	248Fm	34.5
101	248	248Md	7
96	249	249Cm	3849
97	249	249Bk	28270080
98	249	249Cf	11069136000
99	249	249Es	6132
100	249	249Fm	96
101	249	249Md	23.4
102	249	249No	0.000057
97	250	250Bk	11563.2
98	250	250Cf	412490880
100	250	250Fm	1824
101	250	250Md	52
102	250	250No	0.000005
96	251	251Cm	1008
97	251	251Bk	3336
98	251	251Cf	28382400000
99	251	251Es	118800
100	251	251Fm	19080
101	251	251Md	252.6
102	251	251No	0.8
97	252	252Bk	108
98	252	252Cf	83412720
99	252	252Es	40754880
100	252	252Fm	91404
101	252	252Md	138
102	252	252No	2.45
103	252	252Lr	0.369
98	253	253Cf	1538784
99	253	253Es	1768608
100	253	253Fm	259200
101	253	253Md	720
102	253	253No	93.6
98	254	254Cf	5227200
99	254	254Es	23820480
100	254	254Fm	11664
102	254	254No	51.2
103	254	254Lr	17.1
104	254	254Rf	0.0000232
98	255	255Cf	5100
99	255	255Es	3438720
100	255	255Fm	72252
101	255	255Md	1620
102	255	255No	211.2
103	255	255Lr	31.1
104	255	255Rf	1.66
105	255	255Db	1.7
98	256	256Cf	738
100	256	256Fm	9456
102	256	256No	2.91
103	256	256Lr	27
104	256	256Rf	0.00667
105	256	256Db  1	1.7
99	257	257Es	665280
100	257	257Fm	8683200
101	257	257Md	19872
102	257	257No	24.5
103	257	257Lr	6
104	257	257Rf	4.82
100	258	258Fm	0.00037
102	258	258No	0.0012
103	258	258Lr	3.6
104	258	258Rf	0.0138
106	258	258Sg  1	0.0027
100	259	259Fm	1.5
101	259	259Md	5760
102	259	259No	3480
103	259	259Lr	6.2
104	259	259Rf	2.63
105	259	259Db  1	0.51
106	259	259Sg  1	0.402
101	260	260Md	2401920
102	260	260No	0.106
103	260	260Lr	180
104	260	260Rf	0.021
105	260	260Db  1	1.52
106	260	260Sg  1	0.00495
107	260	260Bh  1	0.041
103	261	261Lr	2340
105	261	261Db  1	4.7
106	261	261Sg  1	0.183
107	261	261Bh  1	0.0128
105	262	262Db  1	34
106	262	262Sg  1	0.0109
107	262	262Bh  1	0.084
104	263	263Rf  1	660
105	263	263Db  1	29
108	263	263Hs  1	0.00076
106	264	264Sg  1	0.047
107	264	264Bh  1	1.07
108	264	264Hs  1	0.00054
104	265	265Rf  1	96
107	265	265Bh  1	1.19
108	265	265Hs  1	0.00196
103	266	266Lr  1	75600
105	266	266Db  1	4800
106	266	266Sg  1	0.39
107	266	266Bh  1	2.5
108	266	266Hs  1	0.00302
109	266	266Mt  1	0.0012
104	267	267Rf  1	9000
105	267	267Db  1	6000
106	267	267Sg  1	108
107	267	267Bh  1	22
108	267	267Hs  1	0.055
110	267	267Ds  1	0.00001
105	268	268Db  1	104400
108	268	268Hs  1	1.42
109	268	268Mt  1	0.027
106	269	269Sg  1	300
108	269	269Hs  1	16
110	269	269Ds  1	0.00023
105	270	270Db  1	7200
107	270	270Bh  1	228
108	270	270Hs  1	9
109	270	270Mt  1	0.0063
110	270	270Ds  1	0.000205
106	271	271Sg  1	186
107	271	271Bh  1	600
107	272	272Bh  1	11.3
111	272	272Rg  1	0.0045
108	273	273Hs  1	1.06
110	273	273Ds  1	0.00024
107	274	274Bh  1	60
109	274	274Mt  1	0.85
111	274	274Rg  1	0.029
108	275	275Hs  1	0.29
109	275	275Mt  1	0.117
108	277	277Hs  1	0.011
109	277	277Mt  1	9
110	277	277Ds  1	0.006
112	277	277Cn  1	0.00085
109	278	278Mt  1	7
111	278	278Rg  1	0.008
113	278	278Ed  1	0.0023
110	279	279Ds  1	0.21
111	279	279Rg  1	0.18
110	280	280Ds  1	11
111	280	280Rg  1	4.3
110	281	281Ds  1	14
111	281	281Rg  1	24
112	281	281Cn  1	0.18
111	282	282Rg  1	96
112	282	282Cn  1	0.0009
113	282	282Ed  1	0.14
112	283	283Cn  1	4.1
113	283	283Ed  1	0.16
112	284	284Cn  1	0.104
113	284	284Ed  1	0.93
114	284	284Fl  1	0.0033
112	285	285Cn  1	32
113	285	285Ed  1	3.3
114	285	285Fl  1	0.21
113	286	286Ed  1	7
114	286	286Fl  1	0.14
114	287	287Fl  1	0.52
115	287	287Ef  1	0.095
114	288	288Fl  1	0.75
115	288	288Ef  1	0.17
114	289	289Fl  1	2.4
115	289	289Ef  1	0.31
115	290	290Ef  1	0.41
116	290	290Lv  1	0.008
116	291	291Lv  1	0.028
116	292	292Lv  1	0.024
116	293	293Lv  1	0.08
117	293	293Eh  1	0.021
117	294	294Eh  1	0.07
118	294	294Ei  1	0.00115
