   Ne    10    22    32     9.60755440e+01     7.51687787e+00     1.03592422e+02        7.256     6.691099e-03   0.059   0.875   0.011   0.042   0.012   0.002   1.080        6.544570         7.085972         4.214558
   Ne    10    23    33     1.07742582e+02     1.40570230e+01     1.21799605e+02       11.541     5.690882e-03   0.079   0.041   0.815   0.011   0.049   0.005   1.926        6.848941         7.415839         6.146220
   Ne    10    24    34     1.23792487e+02     2.31168363e+01     1.46909323e+02       15.735     4.718197e-03   0.094   0.138   0.678   0.032   0.013   0.045   1.867        7.180816         7.769944         4.770540
   Ne    10    25    35     1.41115210e+02     3.50994635e+01     1.76214673e+02       19.919     3.933538e-03   0.072   0.045   0.147   0.649   0.025   0.061   2.694        7.501943         8.113450         6.433708
   Ne    10    26    36     1.47919970e+02     4.74334264e+01     1.95353397e+02       24.281     3.548171e-03   0.078   0.139   0.038   0.660   0.008   0.077   2.611        7.725513         8.353579         4.991907
   Ne    10    27    37     1.62012948e+02     6.36959579e+01     2.25708906e+02       28.220     3.070978e-03   0.029   0.047   0.136   0.056   0.631   0.101   3.514        7.986190         8.630000         6.562510
   Ne    10    28    38     1.76040385e+02     8.33403382e+01     2.59380724e+02       32.131     2.672316e-03   0.025   0.067   0.094   0.110   0.046   0.658   4.058        8.253674         8.911899         5.147927
   Ne    10    29    39     2.00291749e+02     1.09052086e+02     3.09343836e+02       35.253     2.240701e-03   0.004   0.000   0.006   0.016   0.185   0.789   4.745        8.545768         9.210585         6.745047
   Ne    10    30    40     2.11607048e+02     1.34107327e+02     3.45714375e+02       38.791     2.004971e-03   0.005   0.000   0.000   0.018   0.049   0.929   4.893        8.761004         9.432859         5.530337
   Ne    10    31    41     2.27751562e+02     1.66184538e+02     3.93936100e+02       42.186     1.759542e-03   0.003   0.000   0.000   0.000   0.001   0.997   4.986        9.017064         9.694095         6.941741
   Na    11    13    24     0.00000000e+00     0.00000000e+00     0.00000000e+00        0.000     1.000000e+32   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.000000         0.000000         0.000000
   Na    11    14    25     0.00000000e+00     0.00000000e+00     0.00000000e+00        0.000     1.000000e+32   1.000   0.000   0.000   0.000   0.000   0.000   0.000        0.000000         0.000000         0.000000
   Na    11    15    26     6.66157559e-07     0.00000000e+00     6.66157559e-07        0.000     1.040515e+06   0.998   0.002   0.000   0.000   0.000   0.000   0.002        0.157706         0.304402         5.687492
   Na    11    16    27     2.21168178e-02     0.00000000e+00     2.21168178e-02        0.000     3.134028e+01   0.996   0.004   0.000   0.000   0.000   0.000   0.004        1.579686         1.976030         2.883185
   Na    11    17    28     5.66237017e-01     1.98520000e-07     5.66237215e-01        0.000     1.224129e+00   0.996   0.002   0.001   0.000   0.000   0.000   0.005        2.682027         3.122209         4.502363
   Na    11    18    29     3.95143473e+00     1.42846800e-04     3.95157757e+00        0.004     1.754102e-01   0.985   0.013   0.001   0.001   0.000   0.000   0.016        3.657278         4.118290         2.495432
   Na    11    19    30     1.43377391e+01     1.99169100e-03     1.43397308e+01        0.014     4.833753e-02   0.982   0.008   0.009   0.000   0.000   0.000   0.029        4.462944         4.935618         4.420038
   Na    11    20    31     4.33654470e+01     2.15498000e-03     4.33676020e+01        0.005     1.598306e-02   0.909   0.077   0.012   0.001   0.000   0.000   0.107        5.297661         5.779774         2.619165
   Na    11    21    32     4.80175364e+01     1.09171807e+00     4.91092545e+01        2.223     1.411439e-02   0.027   0.894   0.068   0.010   0.001   0.001   1.067        5.574969         6.075227         7.538804
   Na    11    22    33     5.53417156e+01     3.25424680e+00     5.85959624e+01        5.554     1.182927e-02   0.011   0.937   0.018   0.032   0.001   0.001   1.078        5.882259         6.408865         5.867076
   Na    11    23    34     6.45685534e+01     6.92972457e+00     7.14982780e+01        9.692     9.694600e-03   0.040   0.054   0.859   0.012   0.034   0.001   1.952        6.215962         6.772455         8.324383
   Na    11    24    35     7.53152176e+01     1.26044252e+01     8.79196428e+01       14.336     7.883872e-03   0.006   0.169   0.748   0.039   0.033   0.005   1.939        6.565275         7.151881         6.666244
   Na    11    25    36     8.96550772e+01     2.09431174e+01     1.10598195e+02       18.936     6.267256e-03   0.052   0.047   0.825   0.012   0.037   0.027   2.016        6.934592         7.548151         8.653857
   Na    11    26    37     1.06180134e+02     3.23918580e+01     1.38571992e+02       23.375     5.002073e-03   0.004   0.203   0.061   0.665   0.010   0.057   2.645        7.306139         7.941954         7.065007
   Na    11    27    38     1.20001359e+02     4.65261336e+01     1.66527492e+02       27.939     4.162359e-03   0.006   0.018   0.279   0.036   0.597   0.065   3.395        7.626306         8.282786         8.804408
   Na    11    28    39     1.28986866e+02     6.19386833e+01     1.90925549e+02       32.441     3.630458e-03   0.003   0.072   0.015   0.275   0.533   0.102   3.568        7.877135         8.548836         7.236929
   Na    11    29    40     1.42365882e+02     8.16761545e+01     2.24042037e+02       36.456     3.093826e-03   0.003   0.000   0.083   0.014   0.298   0.601   4.408        8.157056         8.839190         8.904153
   Na    11    30    41     1.57663598e+02     1.05702271e+02     2.63365869e+02       40.135     2.631879e-03   0.003   0.001   0.000   0.148   0.099   0.749   4.586        8.442763         9.129695         7.492642
